	variable	d	CuedHalf	Alignment	Congruency	participant	ProbabilityCue
48	Congruent_Misligned_Top	1.8864064124515927	Top	MisAligned	Congruent	17	75cueTarget
49	Congruent_Misligned_Top	2.6122751930531733	Top	MisAligned	Congruent	18	75cueTarget
50	Congruent_Misligned_Top	3.164478623678773	Top	MisAligned	Congruent	19	75cueTarget
51	Congruent_Misligned_Top	3.2897072539029444	Top	MisAligned	Congruent	20	75cueTarget
52	Congruent_Misligned_Top	1.1132337572892121	Top	MisAligned	Congruent	21	75cueTarget
53	Congruent_Misligned_Top	2.350415693202339	Top	MisAligned	Congruent	22	75cueTarget
54	Congruent_Misligned_Top	2.2246153606735524	Top	MisAligned	Congruent	23	75cueTarget
55	Congruent_Misligned_Top	1.9559616755961016	Top	MisAligned	Congruent	24	75cueTarget
56	Congruent_Misligned_Top	1.5403891145971644	Top	MisAligned	Congruent	25	75cueTarget
57	Congruent_Misligned_Top	1.8545191140400639	Top	MisAligned	Congruent	26	75cueTarget
58	Congruent_Misligned_Top	1.333171227753688	Top	MisAligned	Congruent	27	75cueTarget
59	Congruent_Misligned_Top	1.8127476317395776	Top	MisAligned	Congruent	28	75cueTarget
60	Congruent_Misligned_Top	2.184286357188465	Top	MisAligned	Congruent	29	75cueTarget
61	Congruent_Misligned_Top	1.4064260985998618	Top	MisAligned	Congruent	30	75cueTarget
62	Congruent_Misligned_Top	1.7683145935082059	Top	MisAligned	Congruent	31	75cueTarget
63	Congruent_Misligned_Top	2.147205006130575	Top	MisAligned	Congruent	32	75cueTarget
64	Incongruent_Aligned_Top	2.3923231821813857	Top	Aligned	Incongruent	1	75cueTarget
65	Incongruent_Aligned_Top	1.6222463926323958	Top	Aligned	Incongruent	2	75cueTarget
66	Incongruent_Aligned_Top	-0.177380196159658	Top	Aligned	Incongruent	3	75cueTarget
67	Incongruent_Aligned_Top	-0.16057465217968647	Top	Aligned	Incongruent	4	75cueTarget
68	Incongruent_Aligned_Top	2.1231727991175147	Top	Aligned	Incongruent	5	75cueTarget
69	Incongruent_Aligned_Top	1.2897804926295895	Top	Aligned	Incongruent	6	75cueTarget
70	Incongruent_Aligned_Top	0.4256943631544213	Top	Aligned	Incongruent	7	75cueTarget
71	Incongruent_Aligned_Top	1.7336973398468731	Top	Aligned	Incongruent	8	75cueTarget
72	Incongruent_Aligned_Top	0.7140744629659013	Top	Aligned	Incongruent	9	75cueTarget
73	Incongruent_Aligned_Top	1.0802382136496722	Top	Aligned	Incongruent	10	75cueTarget
74	Incongruent_Aligned_Top	0.8609454938274111	Top	Aligned	Incongruent	11	75cueTarget
75	Incongruent_Aligned_Top	1.8663059218774758	Top	Aligned	Incongruent	12	75cueTarget
76	Incongruent_Aligned_Top	1.7162166843894346	Top	Aligned	Incongruent	13	75cueTarget
77	Incongruent_Aligned_Top	1.5403891145971644	Top	Aligned	Incongruent	14	75cueTarget
78	Incongruent_Aligned_Top	1.6094009379892533	Top	Aligned	Incongruent	15	75cueTarget
79	Incongruent_Aligned_Top	2.1240116692541124	Top	Aligned	Incongruent	16	75cueTarget
80	Incongruent_Aligned_Top	1.1107716166367854	Top	Aligned	Incongruent	17	75cueTarget
81	Incongruent_Aligned_Top	0.5729675484954635	Top	Aligned	Incongruent	18	75cueTarget
82	Incongruent_Aligned_Top	1.9044772887546881	Top	Aligned	Incongruent	19	75cueTarget
83	Incongruent_Aligned_Top	1.8701563577455658	Top	Aligned	Incongruent	20	75cueTarget
84	Incongruent_Aligned_Top	1.0706287964319703	Top	Aligned	Incongruent	21	75cueTarget
85	Incongruent_Aligned_Top	1.2786656214248908	Top	Aligned	Incongruent	22	75cueTarget
86	Incongruent_Aligned_Top	0.507166232507823	Top	Aligned	Incongruent	23	75cueTarget
87	Incongruent_Aligned_Top	0.8762728263458874	Top	Aligned	Incongruent	24	75cueTarget
88	Incongruent_Aligned_Top	0.6820583046674659	Top	Aligned	Incongruent	25	75cueTarget
89	Incongruent_Aligned_Top	0.860945493827411	Top	Aligned	Incongruent	26	75cueTarget
90	Incongruent_Aligned_Top	-1.3008808393771076	Top	Aligned	Incongruent	27	75cueTarget
91	Incongruent_Aligned_Top	0.7833959427433883	Top	Aligned	Incongruent	28	75cueTarget
92	Incongruent_Aligned_Top	1.9523928502096997	Top	Aligned	Incongruent	29	75cueTarget
93	Incongruent_Aligned_Top	1.3527420325092687	Top	Aligned	Incongruent	30	75cueTarget
94	Incongruent_Aligned_Top	1.3564679238852375	Top	Aligned	Incongruent	31	75cueTarget
95	Incongruent_Aligned_Top	0.4271097642240217	Top	Aligned	Incongruent	32	75cueTarget
96	Incongruent_Misligned_Top	2.8840800731446627	Top	MisAligned	Incongruent	1	75cueTarget
97	Incongruent_Misligned_Top	2.2959392389730886	Top	MisAligned	Incongruent	2	75cueTarget
98	Incongruent_Misligned_Top	0.2522176920643788	Top	MisAligned	Incongruent	3	75cueTarget
99	Incongruent_Misligned_Top	0.19744932170663815	Top	MisAligned	Incongruent	4	75cueTarget
100	Incongruent_Misligned_Top	3.083023961177861	Top	MisAligned	Incongruent	5	75cueTarget
101	Incongruent_Misligned_Top	1.5771366380889618	Top	MisAligned	Incongruent	6	75cueTarget
102	Incongruent_Misligned_Top	2.4947498307407465	Top	MisAligned	Incongruent	7	75cueTarget
